reference_date,location,target,horizon,target_end_date,output_type,output_type_id,value
2020-01-18,HHS Region 1,ili perc,1,2020-01-25,quantile,0.01,3.640266861952626
2020-01-18,HHS Region 1,ili perc,1,2020-01-25,quantile,0.025,3.7738136854088076
2020-01-18,HHS Region 1,ili perc,1,2020-01-25,quantile,0.05,3.8886713210745976
2020-01-18,HHS Region 1,ili perc,1,2020-01-25,quantile,0.1,4.021094819067584
2020-01-18,HHS Region 1,ili perc,1,2020-01-25,quantile,0.15000000000000002,4.110440324481486
2020-01-18,HHS Region 1,ili perc,1,2020-01-25,quantile,0.2,4.181449299874295
2020-01-18,HHS Region 1,ili perc,1,2020-01-25,quantile,0.25,4.242368678002267
2020-01-18,HHS Region 1,ili perc,1,2020-01-25,quantile,0.3,4.297076162353719
2020-01-18,HHS Region 1,ili perc,1,2020-01-25,quantile,0.35000000000000003,4.347770799650337
2020-01-18,HHS Region 1,ili perc,1,2020-01-25,quantile,0.4,4.3958750530054385
2020-01-18,HHS Region 1,ili perc,1,2020-01-25,quantile,0.45,4.442416474832488
2020-01-18,HHS Region 1,ili perc,1,2020-01-25,quantile,0.5,4.48822
2020-01-18,HHS Region 1,ili perc,1,2020-01-25,quantile,0.55,4.5340235251675125
2020-01-18,HHS Region 1,ili perc,1,2020-01-25,quantile,0.6000000000000001,4.580564946994562
2020-01-18,HHS Region 1,ili perc,1,2020-01-25,quantile,0.6500000000000001,4.6286692003496634
2020-01-18,HHS Region 1,ili perc,1,2020-01-25,quantile,0.7000000000000001,4.679363837646282
2020-01-18,HHS Region 1,ili perc,1,2020-01-25,quantile,0.7500000000000001,4.7340713219977335
2020-01-18,HHS Region 1,ili perc,1,2020-01-25,quantile,0.8,4.794990700125705
2020-01-18,HHS Region 1,ili perc,1,2020-01-25,quantile,0.8500000000000001,4.865999675518514
2020-01-18,HHS Region 1,ili perc,1,2020-01-25,quantile,0.9000000000000001,4.955345180932416
2020-01-18,HHS Region 1,ili perc,1,2020-01-25,quantile,0.95,5.087768678925403
2020-01-18,HHS Region 1,ili perc,1,2020-01-25,quantile,0.975,5.202626314591193
2020-01-18,HHS Region 1,ili perc,1,2020-01-25,quantile,0.99,5.336173138047374
2020-01-18,HHS Region 1,ili perc,2,2020-02-01,quantile,0.01,3.289033171916579
