reference_date,location,target,horizon,target_end_date,output_type,output_type_id,value
2019-10-26,HHS Region 1,ili perc,1,2019-11-02,quantile,0.01,0.24340850261952415
2019-10-26,HHS Region 1,ili perc,1,2019-11-02,quantile,0.025,0.37627154734591894
2019-10-26,HHS Region 1,ili perc,1,2019-11-02,quantile,0.05,0.49054109558147824
2019-10-26,HHS Region 1,ili perc,1,2019-11-02,quantile,0.1,0.6222865664308151
2019-10-26,HHS Region 1,ili perc,1,2019-11-02,quantile,0.15000000000000002,0.7111746101498371
2019-10-26,HHS Region 1,ili perc,1,2019-11-02,quantile,0.2,0.781820009489387
2019-10-26,HHS Region 1,ili perc,1,2019-11-02,quantile,0.25,0.8424274717370881
2019-10-26,HHS Region 1,ili perc,1,2019-11-02,quantile,0.3,0.8968548459878908
2019-10-26,HHS Region 1,ili perc,1,2019-11-02,quantile,0.35000000000000003,0.9472899195315083
2019-10-26,HHS Region 1,ili perc,1,2019-11-02,quantile,0.4,0.9951478722678062
2019-10-26,HHS Region 1,ili perc,1,2019-11-02,quantile,0.45,1.0414509953957491
2019-10-26,HHS Region 1,ili perc,1,2019-11-02,quantile,0.5,1.08702
2019-10-26,HHS Region 1,ili perc,1,2019-11-02,quantile,0.55,1.132589004604251
2019-10-26,HHS Region 1,ili perc,1,2019-11-02,quantile,0.6000000000000001,1.1788921277321942
2019-10-26,HHS Region 1,ili perc,1,2019-11-02,quantile,0.6500000000000001,1.226750080468492
2019-10-26,HHS Region 1,ili perc,1,2019-11-02,quantile,0.7000000000000001,1.2771851540121095
2019-10-26,HHS Region 1,ili perc,1,2019-11-02,quantile,0.7500000000000001,1.331612528262912
2019-10-26,HHS Region 1,ili perc,1,2019-11-02,quantile,0.8,1.3922199905106132
2019-10-26,HHS Region 1,ili perc,1,2019-11-02,quantile,0.8500000000000001,1.4628653898501633
2019-10-26,HHS Region 1,ili perc,1,2019-11-02,quantile,0.9000000000000001,1.5517534335691854
2019-10-26,HHS Region 1,ili perc,1,2019-11-02,quantile,0.95,1.6834989044185218
2019-10-26,HHS Region 1,ili perc,1,2019-11-02,quantile,0.975,1.7977684526540811
2019-10-26,HHS Region 1,ili perc,1,2019-11-02,quantile,0.99,1.9306314973804761
2019-10-26,HHS Region 1,ili perc,2,2019-11-09,quantile,0.01,-0.10602682096934374
2019-10-26,HHS Region 1,ili perc,2,2019-11-09,quantile,0.025,0.08186989882090692
2019-10-26,HHS Region 1,ili perc,2,2019-11-09,quantile,0.05,0.2434714437018814
2019-10-26,HHS Region 1,ili perc,2,2019-11-09,quantile,0.1,0.42978767535824297
2019-10-26,HHS Region 1,ili perc,2,2019-11-09,quantile,0.15000000000000002,0.5554943523184964
2019-10-26,HHS Region 1,ili perc,2,2019-11-09,quantile,0.2,0.6554020341837512
2019-10-26,HHS Region 1,ili perc,2,2019-11-09,quantile,0.25,0.7411139292754654
2019-10-26,HHS Region 1,ili perc,2,2019-11-09,quantile,0.3,0.8180858601053067
2019-10-26,HHS Region 1,ili perc,2,2019-11-09,quantile,0.35000000000000003,0.8894118251299752
2019-10-26,HHS Region 1,ili perc,2,2019-11-09,quantile,0.4,0.9570931909570581
2019-10-26,HHS Region 1,ili perc,2,2019-11-09,quantile,0.45,1.0225756956648264
2019-10-26,HHS Region 1,ili perc,2,2019-11-09,quantile,0.5,1.08702
2019-10-26,HHS Region 1,ili perc,2,2019-11-09,quantile,0.55,1.1514643043351738
2019-10-26,HHS Region 1,ili perc,2,2019-11-09,quantile,0.6000000000000001,1.2169468090429423
2019-10-26,HHS Region 1,ili perc,2,2019-11-09,quantile,0.6500000000000001,1.2846281748700252
2019-10-26,HHS Region 1,ili perc,2,2019-11-09,quantile,0.7000000000000001,1.3559541398946935
2019-10-26,HHS Region 1,ili perc,2,2019-11-09,quantile,0.7500000000000001,1.432926070724535
2019-10-26,HHS Region 1,ili perc,2,2019-11-09,quantile,0.8,1.518637965816249
2019-10-26,HHS Region 1,ili perc,2,2019-11-09,quantile,0.8500000000000001,1.618545647681504
2019-10-26,HHS Region 1,ili perc,2,2019-11-09,quantile,0.9000000000000001,1.7442523246417576
2019-10-26,HHS Region 1,ili perc,2,2019-11-09,quantile,0.95,1.9305685562981185
2019-10-26,HHS Region 1,ili perc,2,2019-11-09,quantile,0.975,2.092170101179093
2019-10-26,HHS Region 1,ili perc,2,2019-11-09,quantile,0.99,2.2800668209693438
2019-10-26,HHS Region 1,ili perc,3,2019-11-16,quantile,0.01,-0.374157975312243
2019-10-26,HHS Region 1,ili perc,3,2019-11-16,quantile,0.025,-0.144032431397831
2019-10-26,HHS Region 1,ili perc,3,2019-11-16,quantile,0.05,0.053888231904100165
2019-10-26,HHS Region 1,ili perc,3,2019-11-16,quantile,0.1,0.2820780810822362
2019-10-26,HHS Region 1,ili perc,3,2019-11-16,quantile,0.15000000000000002,0.4360366889889858
2019-10-26,HHS Region 1,ili perc,3,2019-11-16,quantile,0.2,0.5583981099660791
2019-10-26,HHS Region 1,ili perc,3,2019-11-16,quantile,0.25,0.6633733138969099
2019-10-26,HHS Region 1,ili perc,3,2019-11-16,quantile,0.3,0.7576442914218663
2019-10-26,HHS Region 1,ili perc,3,2019-11-16,quantile,0.35000000000000003,0.8450004012828848
2019-10-26,HHS Region 1,ili perc,3,2019-11-16,quantile,0.4,0.9278928069683826
2019-10-26,HHS Region 1,ili perc,3,2019-11-16,quantile,0.45,1.0080921687750974
